A,B,why,head,ckpt,gm_A,gm_B,delta,ci_lo,ci_hi,n,verdict
cpc_enc6,noenc_cpc,"remove encoder, CPC arm (vs enc6) [hypothesis]",2L,last,1.1803285769514595,1.1645799210721977,-0.015748655879261886,-0.03289827908540488,0.0018556826264539694,97,ns (CI straddles 0)
cpc_enc6,noenc_cpc,"remove encoder, CPC arm (vs enc6) [hypothesis]",6L,best,1.1575495811428855,1.1532448080655535,-0.004304773077332014,-0.024532952353716553,0.016341996316838525,97,ns (CI straddles 0)
cpc_enc6,noenc_cpc,"remove encoder, CPC arm (vs enc6) [hypothesis]",6L,last,1.162280409057811,1.160011002800303,-0.0022694062575079332,-0.018645870022647726,0.014943415148697126,97,ns (CI straddles 0)
noenc_base,noenc_cpc,CPC term WITHOUT the encoder [key],2L,best,1.425271298133607,1.167758520935493,-0.25751277719811405,-0.3254499304708762,-0.1999348700695911,97,B BETTER (reliable)
noenc_base,noenc_cpc,CPC term WITHOUT the encoder [key],2L,last,1.2638864398492142,1.1645799210721977,-0.09930651877701657,-0.12427057829321209,-0.0763654518934207,97,B BETTER (reliable)
noenc_base,noenc_cpc,CPC term WITHOUT the encoder [key],6L,best,1.352667944925973,1.1532448080655535,-0.19942313686041957,-0.24958938269628228,-0.15609410495519094,97,B BETTER (reliable)
noenc_base,noenc_cpc,CPC term WITHOUT the encoder [key],6L,last,1.2391954633743507,1.160011002800303,-0.07918446057404771,-0.10582830465778104,-0.05560488545067899,97,B BETTER (reliable)
noenc_base,noenc_cpcall,CPC_All (paper-marginal) WITHOUT the encoder [key],2L,best,1.425271298133607,1.1771698536667865,-0.2481014444668206,-0.31626987032441667,-0.1902559952430838,97,B BETTER (reliable)
noenc_base,noenc_cpcall,CPC_All (paper-marginal) WITHOUT the encoder [key],2L,last,1.2638864398492142,1.1713901397874682,-0.09249630006174603,-0.11438862689028828,-0.0732700383747309,97,B BETTER (reliable)
noenc_base,noenc_cpcall,CPC_All (paper-marginal) WITHOUT the encoder [key],6L,best,1.352667944925973,1.181875081550956,-0.1707928633750171,-0.22195409368723684,-0.1223485926366008,97,B BETTER (reliable)
noenc_base,noenc_cpcall,CPC_All (paper-marginal) WITHOUT the encoder [key],6L,last,1.2391954633743507,1.1684408106360669,-0.07075465273828385,-0.09440422174993457,-0.04943941431670007,97,B BETTER (reliable)
noenc_cpc,noenc_cpcall,"CPC_All vs narrow CPC, no encoder",2L,best,1.167758520935493,1.1771698536667865,0.009411332731293465,2.8131915061901935e-05,0.019683554095650146,97,B worse (reliable)
noenc_cpc,noenc_cpcall,"CPC_All vs narrow CPC, no encoder",2L,last,1.1645799210721977,1.1713901397874682,0.006810218715270544,-0.0018928685087125086,0.015105142733381038,97,ns (CI straddles 0)
noenc_cpc,noenc_cpcall,"CPC_All vs narrow CPC, no encoder",6L,best,1.1532448080655535,1.181875081550956,0.02863027348540248,0.010633070515274401,0.04912883441729643,97,B worse (reliable)
noenc_cpc,noenc_cpcall,"CPC_All vs narrow CPC, no encoder",6L,last,1.160011002800303,1.1684408106360669,0.008429807835763858,-0.002118897280932286,0.01882287704078811,97,ns (CI straddles 0)
cpc_enc3,noenc_cpcall,no-encoder CPC_All vs enc3 narrow-CPC,2L,best,1.1845955220800255,1.1771698536667865,-0.007425668413238995,-0.031873314721201806,0.01852616227600601,97,ns (CI straddles 0)
cpc_enc3,noenc_cpcall,no-encoder CPC_All vs enc3 narrow-CPC,2L,last,1.1531062578216253,1.1713901397874682,0.018283881965842852,0.002316221720785716,0.03547391560795732,97,B worse (reliable)
cpc_enc3,noenc_cpcall,no-encoder CPC_All vs enc3 narrow-CPC,6L,best,1.1583832280133097,1.181875081550956,0.023491853537646268,-0.005741361641888654,0.0550868180214501,97,ns (CI straddles 0)
cpc_enc3,noenc_cpcall,no-encoder CPC_All vs enc3 narrow-CPC,6L,last,1.1435819294844403,1.1684408106360669,0.0248588811516266,0.009767853860121578,0.04082378338026582,97,B worse (reliable)
cpc_enc6,noenc_cpcall,no-encoder CPC_All vs enc6 narrow-CPC,2L,best,1.1786259301811712,1.1771698536667865,-0.0014560765143847298,-0.025002601873610253,0.02379575315432292,97,ns (CI straddles 0)
cpc_enc6,noenc_cpcall,no-encoder CPC_All vs enc6 narrow-CPC,2L,last,1.1803285769514595,1.1713901397874682,-0.008938437163991342,-0.02783007087027589,0.011105327493224237,97,ns (CI straddles 0)
cpc_enc6,noenc_cpcall,no-encoder CPC_All vs enc6 narrow-CPC,6L,best,1.1575495811428855,1.181875081550956,0.024325500408070466,-0.0060484530485473975,0.05583568672018724,97,ns (CI straddles 0)
cpc_enc6,noenc_cpcall,no-encoder CPC_All vs enc6 narrow-CPC,6L,last,1.162280409057811,1.1684408106360669,0.006160401578255925,-0.011382599871315957,0.024384277179074765,97,ns (CI straddles 0)
